Advanced Ion Battery (1) <- Pure Ferrite (10) + Sodium Nitrate (10) + Silver (10)	[Advanced Ion Capture]
Ammonia (1) <- Fungal Mold (2) + Salt (1)	[Floral Titration]
Ammonia (1) <- Nitrogen (1) + Di-hydrogen (1)	[Organic Fusion]
Ammonia (1) <- Paraffinium (2) + Ferrite Dust (1)	[Environmental Element Transfer]
Ammonia (1) <- Paraffinium (2) + Pure Ferrite (1)	[Environmental Element Transfer]
Aronium (1) <- Paraffinium (30) + Cobalt (60) + Gold (10)	[Alloy Latticing]
Aronium (1) <- Paraffinium (30) + Cobalt (60) + Platinum (5)	[Alloy Latticing]
Aronium (1) <- Paraffinium (30) + Cobalt (60) + Silver (20)	[Alloy Latticing]
Aronium (1) <- Paraffinium (30) + Cobalt (60) + Tritium (20)	[Alloy Latticing]
Aronium (1) <- Paraffinium (30) + Ionized Cobalt (30) + Gold (10)	[Alloy Latticing]
Aronium (1) <- Paraffinium (30) + Ionized Cobalt (30) + Platinum (5)	[Alloy Latticing]
Aronium (1) <- Paraffinium (30) + Ionized Cobalt (30) + Silver (20)	[Alloy Latticing]
Aronium (1) <- Paraffinium (30) + Ionized Cobalt (30) + Tritium (20)	[Alloy Latticing]
Cactus Flesh (1) <- Pyrite (1) + Sulphurine (1)	[Encourage Growth]
Cactus Flesh (1) <- Pyrite (2) + Oxygen (1)	[Encourage Growth]
Cactus Flesh (2) <- Pyrite (1) + Cactus Flesh (1)	[Organic Expansion]
Cadmium (2) <- Cadmium (1) + Chromatic Metal (1)	[Chromatic Expansion]
Carbon (1) <- Oxygen (1)	[Inefficient Burn]
Carbon (2) <- Cactus Flesh (1)	[Burn Plantlife]
Carbon (2) <- Condensed Carbon (1)	[Release Carbon]
Carbon (2) <- Fungal Mold (1)	[Burn Plantlife]
Carbon (2) <- Gamma Root (1)	[Burn Plantlife]
Carbon (2) <- Solanium (1)	[Burn Plantlife]
Carbon (2) <- Star Bulb (1)	[Burn Plantlife]
Carbon Crystal (1) <- Carbon (40) + Condensed Carbon (40) + Tritium (50)	[Carbon Crystallization]
Carbon Crystal (1) <- Carbon (50) + Condensed Carbon (50)	[Carbon Crystallization]
Chloride Lattice (1) <- Salt (40) + Chlorine (40) + Tritium (50)	[Chlorine Latticing]
Chloride Lattice (1) <- Salt (50) + Chlorine (50)	[Chlorine Latticing]
Chlorine (1) <- Salt (2)	[Concentrate Salt]
Chlorine (150) <- Chloride Lattice (1)	[Chloride De-latticing]
Chlorine (2) <- Kelp Sac (1) + Chlorine (1)	[Dissolve Natural Salts]
Chlorine (2) <- Kelp Sac (1) + Oxygen (1)	[Bonded Chlorine Extraction]
Chlorine (2) <- Kelp Sac (1) + Pugneum (1)	[Pugneum Washing]
Chlorine (2) <- Kelp Sac (1) + Salt (1)	[Dissolve Natural Salts]
Chlorine (5) <- Salt (2) + Oxygen (2)	[Efficient Salt Evaporation]
Chlorine (6) <- Chlorine (1) + Oxygen (2)	[Chlorine Expansion]
Chromatic Metal (1) <- Activated Copper (1)	[Extract Chromatic Material]
Chromatic Metal (1) <- Cadmium (1)	[Extract Chromatic Material]
Chromatic Metal (1) <- Copper (1) + Pure Ferrite (1)	[Chromatic Metal Fusion]
Chromatic Metal (1) <- Copper (2)	[Extract Chromatic Material]
Chromatic Metal (10) <- Silver (1) + Gold (1) + Cadmium (1)	[Chromatic Stellar Fusion]
Chromatic Metal (2) <- Activated Cadmium (1)	[Extract Chromatic Material]
Chromatic Metal (2) <- Activated Copper (1) + Pure Ferrite (1)	[Chromatic Metal Fusion]
Chromatic Metal (2) <- Cadmium (1) + Pure Ferrite (1)	[Chromatic Metal Fusion]
Chromatic Metal (20) <- Silver (1) + Gold (1) + Emeril (1)	[Chromatic Stellar Fusion]
Chromatic Metal (3) <- Activated Emeril (1)	[Extract Chromatic Material]
Chromatic Metal (3) <- Emeril (1) + Pure Ferrite (1)	[Chromatic Metal Fusion]
Chromatic Metal (3) <- Emeril (2)	[Extract Chromatic Material]
Chromatic Metal (30) <- Silver (1) + Gold (1) + Indium (1)	[Chromatic Stellar Fusion]
Chromatic Metal (4) <- Activated Cadmium (1) + Pure Ferrite (1)	[Chromatic Metal Fusion]
Chromatic Metal (4) <- Activated Indium (1)	[Extract Chromatic Material]
Chromatic Metal (4) <- Indium (1) + Pure Ferrite (1)	[Chromatic Metal Fusion]
Chromatic Metal (4) <- Indium (2)	[Extract Chromatic Material]
Chromatic Metal (5) <- Silver (1) + Gold (1) + Copper (1)	[Chromatic Stellar Fusion]
Chromatic Metal (6) <- Activated Emeril (1) + Pure Ferrite (1)	[Chromatic Metal Fusion]
Chromatic Metal (8) <- Activated Indium (1) + Pure Ferrite (1)	[Chromatic Metal Fusion]
Cobalt (2) <- Ionized Cobalt (1)	[Deionize Mineral]
Condensed Carbon (1) <- Carbon (2)	[Condense Carbon]
Condensed Carbon (1) <- Cyto-Phosphate (1)	[Algal Processing]
Condensed Carbon (150) <- Carbon Crystal (1)	[Carbon Melting]
Condensed Carbon (2) <- Faecium (1) + Carbon (2)	[Feed Microbes]
Condensed Carbon (2) <- Faecium (1) + Mordite (1)	[Feed Microbes]
Condensed Carbon (2) <- Uranium (1) + Di-hydrogen (1)	[Harness Energy]
Condensed Carbon (3) <- Faecium (1) + Condensed Carbon (1)	[Feed Microbes]
Condensed Carbon (5) <- Carbon (2) + Oxygen (2)	[Oxygenate Carbon]
Condensed Carbon (6) <- Condensed Carbon (1) + Oxygen (2)	[Oxygenate Carbon]
Copper (2) <- Copper (1) + Chromatic Metal (1)	[Chromatic Expansion]
Destabilized Sodium (1) <- Sodium (40) + Sodium Nitrate (40) + Tritium (50)	[Sodium Destabilization]
Destabilized Sodium (1) <- Sodium (50) + Sodium Nitrate (50)	[Sodium Destabilization]
Deuterium (1) <- Di-hydrogen (1) + Tritium (1)	[Di-hydrogen Cycling]
Di-hydrogen (1) <- Tritium (5)	[Tritium Cycling]
Di-hydrogen (50) <- Di-hydrogen Jelly (1)	[Di-hydrogen Cycling]
Di-hydrogen Jelly (1) <- Di-hydrogen (30)	[Condense Di-hydrogen]
Dioxite (1) <- Ammonia (2) + Ferrite Dust (1)	[Environmental Element Transfer]
Dioxite (1) <- Ammonia (2) + Pure Ferrite (1)	[Environmental Element Transfer]
Dioxite (1) <- Carbon (1) + Sodium Nitrate (1)	[Advanced Carbon Processing]
Dioxite (1) <- Frost Crystal (2) + Salt (1)	[Floral Titration]
Dioxite (2) <- Condensed Carbon (1) + Sodium Nitrate (1)	[Advanced Carbon Processing]
Dirty Bronze (1) <- Pyrite (30) + Ferrite Dust (120) + Gold (10)	[Alloy Latticing]
Dirty Bronze (1) <- Pyrite (30) + Ferrite Dust (120) + Platinum (5)	[Alloy Latticing]
Dirty Bronze (1) <- Pyrite (30) + Ferrite Dust (120) + Silver (20)	[Alloy Latticing]
Dirty Bronze (1) <- Pyrite (30) + Ferrite Dust (120) + Tritium (20)	[Alloy Latticing]
Dirty Bronze (1) <- Pyrite (30) + Pure Ferrite (60) + Gold (10)	[Alloy Latticing]
Dirty Bronze (1) <- Pyrite (30) + Pure Ferrite (60) + Platinum (5)	[Alloy Latticing]
Dirty Bronze (1) <- Pyrite (30) + Pure Ferrite (60) + Silver (20)	[Alloy Latticing]
Dirty Bronze (1) <- Pyrite (30) + Pure Ferrite (60) + Tritium (20)	[Alloy Latticing]
Emeril (2) <- Emeril (1) + Chromatic Metal (1)	[Chromatic Expansion]
Enriched Carbon (1) <- Radon (100) + Carbon (20) + Chlorine (5)	[High-Speed Sublimation]
Enriched Carbon (1) <- Radon (100) + Carbon (20) + Salt (10)	[High-Speed Sublimation]
Enriched Carbon (1) <- Radon (100) + Condensed Carbon (10) + Chlorine (5)	[High-Speed Sublimation]
Enriched Carbon (1) <- Radon (100) + Condensed Carbon (10) + Salt (10)	[High-Speed Sublimation]
Faecium (1) <- Di-hydrogen (1) + Carbon (1)	[Assisted Decomposition]
Faecium (1) <- Mordite (3)	[Assisted Decomposition]
Faecium (1) <- Sulphurine (1) + Nitrogen (1)	[Encourage Growth]
Faecium (3) <- Carbon (2) + Mordite (1)	[Runaway Decomposition]
Faecium (3) <- Faecium (1) + Oxygen (1)	[Oxygenate Microbes]
Faecium (4) <- Condensed Carbon (1) + Mordite (1)	[Runaway Decomposition]
Ferrite Dust (1) <- Ammonia (1)	[Ferrite Dust Extraction]
Ferrite Dust (1) <- Dioxite (1)	[Ferrite Dust Extraction]
Ferrite Dust (1) <- Paraffinium (1)	[Ferrite Dust Extraction]
Ferrite Dust (1) <- Phosphorus (1)	[Ferrite Dust Extraction]
Ferrite Dust (1) <- Pyrite (1)	[Ferrite Dust Extraction]
Ferrite Dust (1) <- Uranium (1)	[Ferrite Dust Extraction]
Ferrite Dust (2) <- Rusted Metal (1)	[Recycle Waste Materials]
Frost Crystal (1) <- Dioxite (1) + Radon (1)	[Encourage Growth]
Frost Crystal (1) <- Dioxite (2) + Oxygen (1)	[Encourage Growth]
Frost Crystal (2) <- Dioxite (1) + Frost Crystal (1)	[Organic Expansion]
Fungal Mold (1) <- Ammonia (1) + Nitrogen (1)	[Encourage Growth]
Fungal Mold (1) <- Ammonia (2) + Oxygen (1)	[Encourage Growth]
Fungal Mold (2) <- Ammonia (1) + Fungal Mold (1)	[Organic Expansion]
Gamma Root (1) <- Uranium (1) + Radon (1)	[Encourage Growth]
Gamma Root (1) <- Uranium (2) + Oxygen (1)	[Encourage Growth]
Gamma Root (2) <- Uranium (1) + Gamma Root (1)	[Organic Expansion]
Glass (1) <- Cyto-Phosphate (50) + Salt (50)	[Salt Crystal Polishing]
Glass (1) <- Frost Crystal (40)	[Polish Crystals]
Glass (1) <- Silicate Powder (40)	[Silicate Forging]
Gold (1) <- Faecium (1) + Residual Goop (1)	[Alchemical Construction]
Gold (1) <- Hexite (1)	[Alchemical Construction]
Gold (1) <- Mordite (1) + Pugneum (1)	[Organic / Anomaly Synthesis]
Gold (10) <- Ferrite Dust (1) + Oxygen (1) + Emeril (1)	[Chromatic Alchemy]
Gold (100) <- Living Pearl (1)	[Calcite Transmutation]
